2022년,6 ,7 ,8 ,9 ,10 ,
공유모빌리티 어플 수,17,17,19,19,19,
,,,,,,
업종 사용자 수 추이(만 명),6,7,8,9,10,점유율(%)
여행/교통(대분류),2756,2769,2787,2766,2798,100
공유모빌리티(소분류),127,129,125,140,140,5
