시군구,구분,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,합계,,,,,,,,원동기 자전거 이상,,,,,,,사륜오토바이(ATV),,자전거,,개인형이동수단(PM),,건설기계,,농기계,,기타,,미분류,,합계,,,,,,,,원동기 자전거 이상,,,,,,,사륜오토바이(ATV),,자전거,,개인형이동수단(PM),,건설기계,,농기계,,기타,,미분류,,합계,,,,,,,,원동기 자전거 이상,,,,,,,사륜오토바이(ATV),,자전거,,개인형이동수단(PM),,건설기계,,농기계,,기타,,미분류,,합계,,,,,,,,원동기 자전거 이상,,,,,,,사륜오토바이(ATV),,자전거,,개인형이동수단(PM),,건설기계,,농기계,,기타,,미분류,,합계,,,,,,,,원동기 자전거 이상,,,,,,,사륜오토바이(ATV),,자전거,,개인형이동수단(PM),,건설기계,,농기계,,보행자,,기타,,미분류,
,,합계,승용,승합,화물,특수,이륜,원동기,기타,합계,승용,승합,화물,특수,이륜,원동기,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,승용,승합,화물,특수,이륜,원동기,기타,합계,승용,승합,화물,특수,이륜,원동기,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,승용,승합,화물,특수,이륜,원동기,기타,합계,승용,승합,화물,특수,이륜,원동기,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,승용,승합,화물,특수,이륜,원동기,기타,합계,승용,승합,화물,특수,이륜,원동기,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,승용,승합,화물,특수,이륜,원동기,기타,합계,승용,승합,화물,특수,이륜,원동기,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타
,부상자수,8805,1315,266,313,7,57,11,6836,1969,1315,266,313,7,57,11,1,1,10,10,,,34,34,1,1,3290,3290,3500,3500,9180,1449,279,243,3,41,3,7162,2018,1449,279,243,3,41,3,2,2,10,10,,,22,22,1,1,3451,3451,3676,3676,9650,1498,249,235,,45,8,7615,2035,1498,249,235,,45,8,,,13,13,,,13,13,2,2,4116,4116,3471,3471,10136,1794,273,287,4,73,29,7676,2460,1794,273,287,4,73,29,0,0,17,17,,,13,13,,,3027,3027,4619,4619,10008,1663,278,241,3,80,13,7730,2278,1663,278,241,3,80,13,1,1,13,13,2,2,20,20,1,1,57,57,3128,3128,4508,4508
속초시,사고건수,1862,387,73,58,1,18,4,1321,541,387,73,58,1,18,4,,,8,8,,,5,5,2,2,669,669,637,637,2044,420,82,54,,26,2,1460,584,420,82,54,,26,2,,,9,9,,,5,5,,,747,747,699,699,2005,392,76,53,,33,5,1446,559,392,76,53,,33,5,1,1,11,11,,,1,1,2,2,807,807,624,624,2051,507,73,95,,33,2,1341,710,507,73,95,,33,2,,,3,3,,,,,,,632,632,706,706,1964,444,85,63,5,62,3,1302,662,444,85,63,5,62,3,,,11,11,3,3,5,5,,,20,20,587,587,676,676
,사망자수,5,2,1,1,0,1,0,0,5,2,1,1,0,1,0,,,0,0,,,0,0,0,0,0,0,0,0,6,4,0,2,,0,0,0,6,4,0,2,,0,0,,,0,0,,,0,0,,,0,0,0,0,8,4,2,0,,2,0,0,8,4,2,0,,2,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,0,1,0,,0,0,0,1,0,1,0,,0,0,,,0,0,,,,,,,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0
,부상자수,3378,659,125,101,1,25,4,2463,915,659,125,101,1,25,4,,,8,8,,,6,6,3,3,1158,1158,1288,1288,3534,673,135,78,,32,4,2612,922,673,135,78,,32,4,,,9,9,,,9,9,,,1271,1271,1323,1323,3553,653,156,77,,38,5,2624,929,653,156,77,,38,5,1,1,11,11,,,2,2,3,3,1450,1450,1157,1157,3581,857,95,150,,38,2,2439,1142,857,95,150,,38,2,,,3,3,,,,,,,1041,1041,1395,1395,3500,756,131,84,8,74,4,2443,1057,756,131,84,8,74,4,,,11,11,3,3,7,7,,,20,20,1017,1017,1385,1385
태백시,사고건수,716,127,25,36,1,,,527,189,127,25,36,1,,,,,1,1,,,6,6,,,200,200,320,320,830,175,26,32,1,3,,593,237,175,26,32,1,3,,2,2,,,,,4,4,,,237,237,350,350,821,151,32,37,1,5,1,594,227,151,32,37,1,5,1,,,,,,,5,5,,,276,276,313,313,815,185,26,34,3,5,,562,253,185,26,34,3,5,,1,1,2,2,,,6,6,,,226,226,327,327,729,192,30,40,1,6,,460,269,192,30,40,1,6,,,,,,,,4,4,,,4,4,198,198,254,254
,사망자수,6,4,0,2,0,,,0,6,4,0,2,0,,,,,0,0,,,0,0,,,0,0,0,0,10,8,0,1,0,0,,1,9,8,0,1,0,0,,1,1,,,,,0,0,,,0,0,0,0,2,1,0,1,0,0,0,0,2,1,0,1,0,0,0,,,,,,,0,0,,,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,0,0,1,,0,0,0,0,,,0,0,,,0,0,0,0,7,5,0,1,0,0,,1,6,5,0,1,0,0,,,,,,,,1,1,,,0,0,0,0,0,0
,부상자수,1137,217,37,46,2,,,835,302,217,37,46,2,,,,,2,2,,,12,12,,,293,293,528,528,1328,273,44,58,1,3,,949,379,273,44,58,1,3,,1,1,,,,,5,5,,,368,368,575,575,1301,229,43,47,1,6,2,973,328,229,43,47,1,6,2,,,,,,,18,18,,,435,435,520,520,1351,292,51,51,3,7,,947,404,292,51,51,3,7,,2,2,2,2,,,6,6,,,348,348,589,589,1197,282,51,58,4,8,,794,403,282,51,58,4,8,,,,,,,,3,3,,,4,4,319,319,468,468
삼척시,사고건수,1096,246,37,68,3,8,15,719,377,246,37,68,3,8,15,2,2,10,10,,,21,21,1,1,321,321,364,364,1173,275,35,60,1,14,7,781,392,275,35,60,1,14,7,4,4,6,6,,,16,16,6,6,357,357,392,392,1165,300,42,71,,14,13,725,440,300,42,71,,14,13,3,3,14,14,,,23,23,4,4,357,357,324,324,1168,297,33,69,3,15,7,744,424,297,33,69,3,15,7,1,1,11,11,,,25,25,,,339,339,368,368,1052,228,34,58,1,10,6,715,337,228,34,58,1,10,6,1,1,6,6,,,15,15,3,3,8,8,322,322,360,360
,사망자수,10,6,2,2,0,0,0,0,10,6,2,2,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,6,3,0,1,0,0,0,2,4,3,0,1,0,0,0,1,1,0,0,,,0,0,1,1,0,0,0,0,16,4,4,6,,0,0,2,14,4,4,6,,0,0,0,0,0,0,,,1,1,1,1,0,0,0,0,5,2,0,0,0,1,0,2,3,2,0,0,0,1,0,0,0,0,0,,,2,2,,,0,0,0,0,6,3,0,1,0,1,0,1,5,3,0,1,0,1,0,0,0,0,0,,,1,1,0,0,0,0,0,0,0,0
,부상자수,1771,416,70,136,8,10,18,1113,658,416,70,136,8,10,18,2,2,10,10,,,47,47,1,1,465,465,588,588,1923,450,81,90,1,17,8,1276,647,450,81,90,1,17,8,3,3,6,6,,,26,26,7,7,565,565,669,669,1795,471,75,111,,15,15,1108,687,471,75,111,,15,15,3,3,14,14,,,33,33,5,5,528,528,525,525,1949,484,63,100,6,16,7,1273,676,484,63,100,6,16,7,1,1,11,11,,,42,42,,,518,518,701,701,1711,343,39,101,3,14,6,1205,506,343,39,101,3,14,6,2,2,6,6,,,25,25,3,3,8,8,525,525,636,636
홍천군,사고건수,1412,233,45,102,,13,,1019,393,233,45,102,,13,,1,1,2,2,,,10,10,7,7,485,485,514,514,1450,265,34,97,2,23,1,1028,422,265,34,97,2,23,1,4,4,1,1,,,5,5,1,1,495,495,522,522,1499,285,44,106,1,14,2,1047,452,285,44,106,1,14,2,1,1,8,8,,,4,4,2,2,555,555,477,477,1735,373,41,106,3,26,3,1183,552,373,41,106,3,26,3,1,1,5,5,,,9,9,1,1,517,517,650,650,1642,362,41,107,2,18,,1112,530,362,41,107,2,18,,2,2,4,4,,,1,1,1,1,9,9,513,513,582,582
,사망자수,13,7,0,3,,2,,1,12,7,0,3,,2,,0,0,0,0,,,0,0,1,1,0,0,0,0,13,10,0,3,0,0,0,0,13,10,0,3,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,16,9,0,6,0,1,0,0,16,9,0,6,0,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,10,3,0,4,0,3,0,0,10,3,0,4,0,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,18,6,0,9,0,2,,1,17,6,0,9,0,2,,0,0,0,0,,,0,0,0,0,0,0,1,1,0,0
,부상자수,2660,384,85,166,,14,,2011,649,384,85,166,,14,,1,1,2,2,,,13,13,7,7,895,895,1093,1093,2759,494,73,145,2,27,1,2017,742,494,73,145,2,27,1,5,5,1,1,,,6,6,1,1,986,986,1018,1018,2938,486,115,161,1,14,2,2159,779,486,115,161,1,14,2,1,1,8,8,,,6,6,2,2,1119,1119,1023,1023,3812,702,81,195,9,32,4,2789,1023,702,81,195,9,32,4,4,4,5,5,,,12,12,1,1,1100,1100,1667,1667,3507,699,83,170,3,24,,2528,979,699,83,170,3,24,,3,3,4,4,,,1,1,2,2,9,9,1053,1053,1456,1456
횡성군,사고건수,1073,126,28,60,2,11,,846,227,126,28,60,2,11,,1,1,3,3,,,2,2,3,3,417,417,420,420,977,149,31,57,2,14,1,723,254,149,31,57,2,14,1,2,2,3,3,,,2,2,4,4,357,357,355,355,1047,163,20,77,5,4,2,776,271,163,20,77,5,4,2,1,1,5,5,,,3,3,3,3,390,390,374,374,1038,208,17,65,2,19,,727,311,208,17,65,2,19,,2,2,2,2,,,1,1,4,4,307,307,411,411,1003,191,16,92,1,11,1,691,312,191,16,92,1,11,1,,,2,2,,,4,4,5,5,4,4,329,329,347,347
,사망자수,12,7,2,1,1,1,,0,12,7,2,1,1,1,,0,0,0,0,,,0,0,0,0,0,0,0,0,14,4,1,1,0,1,1,6,8,4,1,1,0,1,1,2,2,1,1,,,0,0,3,3,0,0,0,0,9,5,0,2,0,0,0,2,7,5,0,2,0,0,0,0,0,0,0,,,1,1,1,1,0,0,0,0,7,3,0,1,0,2,,1,6,3,0,1,0,2,,1,1,0,0,,,0,0,0,0,0,0,0,0,9,2,0,4,0,1,0,2,7,2,0,4,0,1,0,,,0,0,,,1,1,1,1,0,0,0,0,0,0
,부상자수,2189,218,74,91,1,12,,1793,396,218,74,91,1,12,,2,2,3,3,,,2,2,3,3,872,872,911,911,1830,258,51,88,3,15,0,1415,415,258,51,88,3,15,0,0,0,2,2,,,7,7,1,1,655,655,750,750,2065,331,41,130,5,5,4,1549,516,331,41,130,5,5,4,1,1,5,5,,,4,4,4,4,783,783,752,752,2248,380,33,108,3,29,,1695,553,380,33,108,3,29,,3,3,3,3,,,1,1,9,9,565,565,1114,1114,1903,305,35,139,1,12,1,1410,493,305,35,139,1,12,1,,,2,2,,,3,3,5,5,4,4,610,610,786,786
영월군,사고건수,569,124,15,42,2,6,1,379,190,124,15,42,2,6,1,1,1,5,5,,,4,4,1,1,137,137,231,231,564,135,19,39,4,8,,359,205,135,19,39,4,8,,3,3,2,2,,,5,5,2,2,147,147,200,200,572,102,15,43,3,7,,402,170,102,15,43,3,7,,1,1,1,1,,,8,8,,,177,177,215,215,590,120,14,40,,16,,400,190,120,14,40,,16,,2,2,2,2,,,7,7,,,130,130,259,259,533,113,14,40,2,9,,355,178,113,14,40,2,9,,,,1,1,,,5,5,,,,,139,139,210,210
,사망자수,9,7,0,2,0,0,0,0,9,7,0,2,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,11,3,0,4,1,1,,2,9,3,0,4,1,1,,2,2,0,0,,,0,0,0,0,0,0,0,0,4,0,0,3,0,1,,0,4,0,0,3,0,1,,0,0,0,0,,,0,0,,,0,0,0,0,7,2,0,4,,0,,1,6,2,0,4,,0,,0,0,0,0,,,1,1,,,0,0,0,0,2,1,0,1,0,0,,0,2,1,0,1,0,0,,,,0,0,,,0,0,,,,,0,0,0,0
,부상자수,908,216,27,64,2,9,1,589,319,216,27,64,2,9,1,1,1,5,5,,,6,6,2,2,207,207,368,368,884,228,28,64,4,8,,552,332,228,28,64,4,8,,4,4,2,2,,,8,8,3,3,232,232,303,303,923,166,41,63,4,6,,643,280,166,41,63,4,6,,1,1,1,1,,,14,14,,,291,291,336,336,944,191,19,54,,21,,659,285,191,19,54,,21,,2,2,2,2,,,9,9,,,192,192,454,454,948,190,27,68,3,11,,649,299,190,27,68,3,11,,,,1,1,,,6,6,,,,,224,224,418,418
평창군,사고건수,1497,214,31,73,3,7,1,1168,329,214,31,73,3,7,1,2,2,3,3,,,9,9,2,2,530,530,622,622,1110,197,29,53,,8,1,822,288,197,29,53,,8,1,1,1,1,1,,,2,2,,,397,397,421,421,936,168,15,51,1,4,,697,239,168,15,51,1,4,,,,3,3,,,1,1,3,3,351,351,339,339,1075,190,22,59,2,9,1,792,283,190,22,59,2,9,1,3,3,1,1,,,5,5,3,3,321,321,459,459,1019,200,25,69,4,6,1,714,305,200,25,69,4,6,1,2,2,1,1,,,1,1,,,4,4,283,283,423,423
,사망자수,22,11,5,0,0,2,0,4,18,11,5,0,0,2,0,1,1,1,1,,,1,1,1,1,0,0,0,0,15,6,2,3,,2,0,2,13,6,2,3,,2,0,1,1,1,1,,,0,0,,,0,0,0,0,5,3,0,1,0,0,,1,4,3,0,1,0,0,,,,0,0,,,0,0,1,1,0,0,0,0,5,4,0,0,0,1,0,0,5,4,0,0,0,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,4,3,0,0,0,1,0,0,0,0,0,,,0,0,,,0,0,0,0,0,0
,부상자수,3731,485,60,157,7,15,1,3006,725,485,60,157,7,15,1,1,1,3,3,,,40,40,2,2,1265,1265,1695,1695,2578,466,77,96,,9,1,1929,649,466,77,96,,9,1,0,0,0,0,,,12,12,,,837,837,1080,1080,2294,379,34,82,1,5,,1793,501,379,34,82,1,5,,,,3,3,,,1,1,2,2,920,920,867,867,2716,422,44,124,2,16,1,2107,609,422,44,124,2,16,1,3,3,1,1,,,5,5,3,3,773,773,1322,1322,2662,540,45,141,7,10,1,1918,744,540,45,141,7,10,1,2,2,1,1,,,1,1,,,9,9,659,659,1246,1246
정선군,사고건수,707,143,28,51,1,1,2,481,226,143,28,51,1,1,2,,,1,1,,,5,5,,,209,209,266,266,704,110,21,39,,2,1,531,173,110,21,39,,2,1,,,,,,,6,6,,,239,239,286,286,683,109,24,22,,1,,527,156,109,24,22,,1,,,,1,1,,,3,3,2,2,247,247,274,274,514,102,16,29,1,5,,361,153,102,16,29,1,5,,,,1,1,,,6,6,,,139,139,215,215,521,124,12,66,4,3,2,310,211,124,12,66,4,3,2,1,1,1,1,,,6,6,,,2,2,127,127,173,173
,사망자수,9,5,0,3,0,0,0,1,8,5,0,3,0,0,0,,,0,0,,,1,1,,,0,0,0,0,8,4,0,4,,0,0,0,8,4,0,4,,0,0,,,,,,,0,0,,,0,0,0,0,6,5,0,1,,0,,0,6,5,0,1,,0,,,,0,0,,,0,0,0,0,0,0,0,0,3,3,0,0,0,0,,0,3,3,0,0,0,0,,,,0,0,,,0,0,,,0,0,0,0,6,3,0,3,0,0,0,0,6,3,0,3,0,0,0,0,0,0,0,,,0,0,,,0,0,0,0,0,0
,부상자수,1186,241,49,73,2,1,2,818,368,241,49,73,2,1,2,,,1,1,,,5,5,,,372,372,440,440,1165,204,39,49,,5,1,867,298,204,39,49,,5,1,,,,,,,9,9,,,366,366,492,492,1133,196,38,31,,1,,867,266,196,38,31,,1,,,,1,1,,,3,3,3,3,412,412,448,448,863,179,21,50,1,6,,606,257,179,21,50,1,6,,,,1,1,,,13,13,,,206,206,386,386,779,185,15,94,6,7,2,470,309,185,15,94,6,7,2,1,1,1,1,,,7,7,,,2,2,186,186,273,273
철원군,사고건수,582,104,11,55,,7,7,398,184,104,11,55,,7,7,1,1,3,3,,,1,1,3,3,187,187,203,203,627,99,17,35,1,11,1,463,164,99,17,35,1,11,1,1,1,2,2,,,3,3,2,2,202,202,253,253,637,87,11,48,1,10,,480,157,87,11,48,1,10,,1,1,4,4,,,3,3,3,3,208,208,261,261,572,123,13,39,,8,2,387,185,123,13,39,,8,2,3,3,4,4,,,2,2,3,3,152,152,223,223,555,108,14,51,1,9,,372,183,108,14,51,1,9,,1,1,1,1,1,1,,,1,1,1,1,156,156,211,211
,사망자수,15,5,0,6,,2,2,0,15,5,0,6,,2,2,0,0,0,0,,,0,0,0,0,0,0,0,0,5,3,0,1,0,0,0,1,4,3,0,1,0,0,0,1,1,0,0,,,0,0,0,0,0,0,0,0,12,4,1,7,0,0,,0,12,4,1,7,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,6,3,1,1,,0,0,1,5,3,1,1,,0,0,1,1,0,0,,,0,0,0,0,0,0,0,0,6,3,0,2,0,0,,1,5,3,0,2,0,0,,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0
,부상자수,963,186,14,78,,6,7,672,291,186,14,78,,6,7,2,2,3,3,,,1,1,3,3,326,326,337,337,1011,169,31,60,1,11,1,738,273,169,31,60,1,11,1,0,0,2,2,,,5,5,2,2,331,331,398,398,1020,143,13,76,1,11,,776,244,143,13,76,1,11,,1,1,4,4,,,6,6,4,4,340,340,421,421,937,185,20,59,,9,2,662,275,185,20,59,,9,2,2,2,4,4,,,2,2,4,4,232,232,418,418,950,180,22,87,1,13,,647,303,180,22,87,1,13,,0,0,1,1,1,1,,,1,1,2,2,235,235,407,407
화천군,사고건수,284,54,3,22,1,7,,197,87,54,3,22,1,7,,3,3,,,,,1,1,,,102,102,91,91,356,59,7,24,,6,,260,96,59,7,24,,6,,1,1,1,1,,,,,,,135,135,123,123,322,72,6,23,1,7,,213,109,72,6,23,1,7,,1,1,,,,,1,1,1,1,115,115,95,95,335,86,9,43,1,10,,186,149,86,9,43,1,10,,,,3,3,,,2,2,1,1,87,87,93,93,349,87,6,27,1,14,,214,135,87,6,27,1,14,,,,3,3,,,1,1,,,5,5,95,95,110,110
,사망자수,2,0,0,1,0,1,,0,2,0,0,1,0,1,,0,0,,,,,0,0,,,0,0,0,0,9,6,0,1,,2,,0,9,6,0,1,,2,,0,0,0,0,,,,,,,0,0,0,0,9,6,0,2,0,1,,0,9,6,0,2,0,1,,0,0,,,,,0,0,0,0,0,0,0,0,8,1,0,4,0,1,,2,6,1,0,4,0,1,,,,1,1,,,0,0,1,1,0,0,0,0,2,1,0,1,0,0,,0,2,1,0,1,0,0,,,,0,0,,,0,0,,,0,0,0,0,0,0
,부상자수,450,85,7,40,3,9,,306,144,85,7,40,3,9,,3,3,,,,,1,1,,,145,145,157,157,562,92,12,37,,10,,411,151,92,12,37,,10,,1,1,2,2,,,,,,,194,194,214,214,542,131,13,40,1,12,,345,197,131,13,40,1,12,,2,2,,,,,1,1,1,1,192,192,149,149,554,159,18,64,1,12,,300,254,159,18,64,1,12,,,,2,2,,,2,2,0,0,129,129,167,167,608,157,7,34,2,23,,385,223,157,7,34,2,23,,,,3,3,,,1,1,,,5,5,158,158,218,218
양구군,사고건수,294,53,4,26,,7,,204,90,53,4,26,,7,,3,3,3,3,1,1,1,1,1,1,94,94,101,101,309,61,5,19,,1,,223,86,61,5,19,,1,,4,4,3,3,,,1,1,1,1,119,119,95,95,286,62,6,20,,6,,192,94,62,6,20,,6,,1,1,1,1,,,2,2,,,114,114,74,74,268,63,6,19,1,11,,168,100,63,6,19,1,11,,2,2,,,,,,,3,3,86,86,77,77,244,72,3,20,,5,,144,100,72,3,20,,5,,2,2,,,1,1,,,3,3,5,5,55,55,78,78
,사망자수,5,1,0,1,,3,,0,5,1,0,1,,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,,1,,1,4,1,0,2,,1,,1,1,0,0,,,0,0,0,0,0,0,0,0,2,2,0,0,,0,,0,2,2,0,0,,0,,0,0,0,0,,,0,0,,,0,0,0,0,2,0,0,1,0,1,,0,2,0,0,1,0,1,,0,0,,,,,,,0,0,0,0,0,0,6,4,0,2,,0,,0,6,4,0,2,,0,,0,0,,,0,0,,,0,0,0,0,0,0,0,0
,부상자수,473,98,12,35,,7,,321,152,98,12,35,,7,,3,3,3,3,1,1,2,2,1,1,135,135,176,176,474,107,8,26,,0,,333,141,107,8,26,,0,,3,3,3,3,,,1,1,1,1,200,200,125,125,489,115,7,36,,11,,320,169,115,7,36,,11,,1,1,1,1,,,2,2,,,201,201,115,115,487,144,7,31,1,16,,288,199,144,7,31,1,16,,2,2,,,,,,,3,3,141,141,142,142,405,104,8,33,,5,,255,150,104,8,33,,5,,3,3,,,1,1,,,4,4,6,6,78,78,163,163
인제군,사고건수,712,106,18,31,1,10,,546,166,106,18,31,1,10,,,,,,,,4,4,,,289,289,253,253,623,86,16,27,,3,1,490,133,86,16,27,,3,1,1,1,,,,,1,1,,,243,243,245,245,606,74,10,26,,7,,489,117,74,10,26,,7,,,,,,,,1,1,,,273,273,215,215,636,115,15,26,2,4,,474,162,115,15,26,2,4,,1,1,1,1,,,2,2,,,235,235,235,235,585,107,10,37,2,8,,421,164,107,10,37,2,8,,,,3,3,,,,,2,2,5,5,182,182,229,229
,사망자수,12,2,2,1,0,6,,1,11,2,2,1,0,6,,,,,,,,1,1,,,0,0,0,0,10,4,1,2,,2,1,0,10,4,1,2,,2,1,0,0,,,,,0,0,,,0,0,0,0,8,3,0,4,,1,,0,8,3,0,4,,1,,,,,,,,0,0,,,0,0,0,0,3,1,1,1,0,0,,0,3,1,1,1,0,0,,0,0,0,0,,,0,0,,,0,0,0,0,7,0,2,3,0,1,,1,6,0,2,3,0,1,,,,0,0,,,,,1,1,0,0,0,0,0,0
,부상자수,1571,222,38,67,2,8,,1234,337,222,38,67,2,8,,,,,,,,4,4,,,613,613,617,617,1270,168,34,49,,1,0,1018,252,168,34,49,,1,0,1,1,,,,,1,1,,,500,500,516,516,1239,127,25,39,,6,,1042,197,127,25,39,,6,,,,,,,,1,1,,,533,533,508,508,1381,213,43,36,6,4,,1079,302,213,43,36,6,4,,1,1,2,2,,,2,2,,,503,503,571,571,1367,218,27,69,4,15,,1034,333,218,27,69,4,15,,,,3,3,,,,,4,4,6,6,382,382,639,639
고성군,사고건수,479,78,10,25,,2,,364,115,78,10,25,,2,,,,2,2,,,3,3,1,1,181,181,177,177,458,93,16,27,,6,,316,142,93,16,27,,6,,1,1,1,1,,,4,4,1,1,185,185,124,124,496,96,16,36,,10,,338,158,96,16,36,,10,,1,1,3,3,,,7,7,,,169,169,158,158,578,124,13,40,1,3,2,395,183,124,13,40,1,3,2,1,1,,,,,7,7,,,165,165,222,222,597,134,19,30,,3,,411,186,134,19,30,,3,,2,2,1,1,,,8,8,,,5,5,188,188,207,207
,사망자수,5,4,0,1,,0,,0,5,4,0,1,,0,,,,0,0,,,0,0,0,0,0,0,0,0,12,7,0,2,,2,,1,11,7,0,2,,2,,0,0,0,0,,,1,1,0,0,0,0,0,0,1,0,0,0,,1,,0,1,0,0,0,,1,,0,0,0,0,,,0,0,,,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,,,,,0,0,,,0,0,0,0,5,1,0,3,,1,,0,5,1,0,3,,1,,0,0,0,0,,,0,0,,,0,0,0,0,0,0
,부상자수,834,116,19,43,,3,,653,181,116,19,43,,3,,,,2,2,,,5,5,3,3,301,301,342,342,749,139,24,48,,5,,533,216,139,24,48,,5,,1,1,1,1,,,4,4,1,1,316,316,210,210,841,160,24,66,,12,,579,262,160,24,66,,12,,3,3,3,3,,,10,10,,,279,279,284,284,1127,196,29,67,1,4,2,828,299,196,29,67,1,4,2,1,1,,,,,8,8,,,319,319,500,500,1137,229,37,56,,3,,812,325,229,37,56,,3,,5,5,1,1,,,22,22,,,5,5,350,350,429,429
양양군,사고건수,638,127,9,32,2,6,,462,176,127,9,32,2,6,,,,1,1,1,1,3,3,,,239,239,218,218,730,134,15,35,1,12,,533,197,134,15,35,1,12,,,,1,1,,,2,2,1,1,281,281,248,248,778,155,19,41,1,7,,555,223,155,19,41,1,7,,,,,,,,2,2,,,322,322,231,231,862,192,10,51,,13,,596,266,192,10,51,,13,,,,1,1,,,4,4,2,2,281,281,308,308,804,191,11,49,5,6,1,541,263,191,11,49,5,6,1,,,6,6,,,2,2,,,7,7,246,246,280,280
,사망자수,11,5,0,2,0,3,,1,10,5,0,2,0,3,,,,0,0,0,0,1,1,,,0,0,0,0,8,3,0,2,1,1,,1,7,3,0,2,1,1,,,,0,0,,,0,0,1,1,0,0,0,0,9,4,0,4,0,1,,0,9,4,0,4,0,1,,,,,,,,0,0,,,0,0,0,0,5,2,0,2,,1,,0,5,2,0,2,,1,,,,0,0,,,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,1,2,1,0,1,0,0,0,,,1,1,,,0,0,,,0,0,0,0,0,0
,부상자수,1267,244,11,54,4,5,,949,318,244,11,54,4,5,,,,1,1,3,3,4,4,,,475,475,466,466,1516,263,28,56,6,14,,1149,367,263,28,56,6,14,,,,1,1,,,5,5,1,1,563,563,579,579,1631,288,56,74,3,9,,1201,430,288,56,74,3,9,,,,,,,,3,3,,,664,664,534,534,1945,358,15,86,,19,,1467,478,358,15,86,,19,,,,1,1,,,8,8,5,5,579,579,874,874,1769,358,27,80,8,6,2,1288,481,358,27,80,8,6,2,,,6,6,,,4,4,,,9,9,520,520,749,749
청주시,사고건수,14291,3579,670,661,22,352,77,8930,5361,3579,670,661,22,352,77,3,3,139,139,6,6,52,52,5,5,4292,4292,4433,4433,16185,4028,782,761,31,415,54,10114,6071,4028,782,761,31,415,54,1,1,107,107,13,13,54,54,9,9,4935,4935,4995,4995,16416,3891,745,715,23,442,57,10543,5873,3891,745,715,23,442,57,4,4,106,106,17,17,47,47,3,3,5537,5537,4829,4829,15572,4098,570,777,27,502,96,9502,6070,4098,570,777,27,502,96,7,7,101,101,10,10,35,35,8,8,4373,4373,4968,4968,15605,3884,581,741,34,521,65,9779,5826,3884,581,741,34,521,65,2,2,102,102,51,51,46,46,6,6,107,107,4618,4618,4847,4847
,사망자수,67,31,7,12,1,9,1,6,61,31,7,12,1,9,1,0,0,2,2,0,0,4,4,0,0,0,0,0,0,86,40,3,22,2,13,0,6,80,40,3,22,2,13,0,0,0,2,2,0,0,2,2,2,2,0,0,0,0,49,30,1,11,1,4,1,1,48,30,1,11,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,61,41,5,9,0,2,3,1,60,41,5,9,0,2,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,49,15,2,18,2,3,0,9,40,15,2,18,2,3,0,2,2,3,3,1,1,1,1,1,1,0,0,1,1,0,0
,부상자수,23614,6001,1013,1051,40,425,92,14992,8622,6001,1013,1051,40,425,92,3,3,141,141,6,6,68,68,7,7,6911,6911,7856,7856,26525,6733,1333,1185,37,488,69,16680,9845,6733,1333,1185,37,488,69,1,1,113,113,15,15,76,76,14,14,7734,7734,8727,8727,27178,6561,1231,1118,29,610,68,17561,9617,6561,1231,1118,29,610,68,5,5,116,116,18,18,66,66,3,3,8978,8978,8375,8375,26347,6757,885,1189,47,648,122,16699,9648,6757,885,1189,47,648,122,7,7,107,107,13,13,60,60,14,14,6968,6968,9530,9530,26350,6093,922,1138,54,656,85,17402,8948,6093,922,1138,54,656,85,0,0,109,109,55,55,60,60,7,7,131,131,7395,7395,9645,9645
