시군구,구분,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,합계,,,,,,,,원동기 자전거 이상,,,,,,,사륜오토바이(ATV),,자전거,,개인형이동수단(PM),,건설기계,,농기계,,기타,,미분류,,합계,,,,,,,,원동기 자전거 이상,,,,,,,사륜오토바이(ATV),,자전거,,개인형이동수단(PM),,건설기계,,농기계,,기타,,미분류,,합계,,,,,,,,원동기 자전거 이상,,,,,,,사륜오토바이(ATV),,자전거,,개인형이동수단(PM),,건설기계,,농기계,,기타,,미분류,,합계,,,,,,,,원동기 자전거 이상,,,,,,,사륜오토바이(ATV),,자전거,,개인형이동수단(PM),,건설기계,,농기계,,기타,,미분류,,합계,,,,,,,,원동기 자전거 이상,,,,,,,사륜오토바이(ATV),,자전거,,개인형이동수단(PM),,건설기계,,농기계,,보행자,,기타,,미분류,
,,합계,승용,승합,화물,특수,이륜,원동기,기타,합계,승용,승합,화물,특수,이륜,원동기,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,승용,승합,화물,특수,이륜,원동기,기타,합계,승용,승합,화물,특수,이륜,원동기,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,승용,승합,화물,특수,이륜,원동기,기타,합계,승용,승합,화물,특수,이륜,원동기,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,승용,승합,화물,특수,이륜,원동기,기타,합계,승용,승합,화물,특수,이륜,원동기,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,승용,승합,화물,특수,이륜,원동기,기타,합계,승용,승합,화물,특수,이륜,원동기,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타
용산구,사고건수,7005,1107,202,142,7,181,13,5353,1652,1107,202,142,7,181,13,,,48,48,,,2,2,,,2780,2780,2523,2523,7544,1410,249,118,,187,8,5572,1972,1410,249,118,,187,8,,,33,33,2,2,5,5,,,2870,2870,2662,2662,7647,1293,334,157,1,179,7,5676,1971,1293,334,157,1,179,7,1,1,30,30,1,1,4,4,,,3170,3170,2470,2470,6973,1285,375,155,4,246,11,4897,2076,1285,375,155,4,246,11,,,29,29,4,4,7,7,1,1,2267,2267,2589,2589,7056,1360,353,174,4,323,9,4833,2223,1360,353,174,4,323,9,,,55,55,6,6,5,5,,,60,60,2250,2250,2457,2457
,사망자수,12,10,0,0,0,2,0,0,12,10,0,0,0,2,0,,,0,0,,,0,0,,,0,0,0,0,14,9,0,2,,3,0,0,14,9,0,2,,3,0,,,0,0,0,0,0,0,,,0,0,0,0,10,5,1,2,0,2,0,0,10,5,1,2,0,2,0,0,0,0,0,0,0,0,0,,,0,0,0,0,12,5,0,2,1,3,0,1,11,5,0,2,1,3,0,,,0,0,0,0,1,1,0,0,0,0,0,0,5,1,1,1,1,1,0,0,5,1,1,1,1,1,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0
,부상자수,10628,1654,310,201,7,210,14,8232,2396,1654,310,201,7,210,14,,,54,54,,,2,2,,,4168,4168,4008,4008,11262,2062,370,166,,208,8,8448,2814,2062,370,166,,208,8,,,41,41,2,2,8,8,,,4230,4230,4167,4167,11336,1909,478,229,1,206,7,8506,2830,1909,478,229,1,206,7,1,1,31,31,1,1,4,4,,,4719,4719,3750,3750,10557,1883,526,206,3,281,12,7646,2911,1883,526,206,3,281,12,,,33,33,4,4,9,9,1,1,3291,3291,4308,4308,10679,1996,526,231,4,361,10,7551,3128,1996,526,231,4,361,10,,,64,64,6,6,5,5,,,67,67,3270,3270,4139,4139
성동구,사고건수,7439,757,131,165,3,212,47,6124,1315,757,131,165,3,212,47,,,87,87,1,1,12,12,,,3096,3096,2928,2928,7980,1056,149,198,4,218,16,6339,1641,1056,149,198,4,218,16,,,67,67,3,3,9,9,,,3280,3280,2980,2980,7929,1053,231,181,5,222,14,6223,1706,1053,231,181,5,222,14,,,83,83,5,5,7,7,,,3443,3443,2685,2685,8001,1322,285,233,4,334,25,5798,2203,1322,285,233,4,334,25,,,112,112,15,15,15,15,,,2607,2607,3049,3049,8059,1364,247,250,6,351,29,5812,2247,1364,247,250,6,351,29,,,112,112,16,16,10,10,,,76,76,2535,2535,3063,3063
,사망자수,15,4,1,3,0,3,2,2,13,4,1,3,0,3,2,,,2,2,0,0,0,0,,,0,0,0,0,9,3,0,2,0,3,0,1,8,3,0,2,0,3,0,,,1,1,0,0,0,0,,,0,0,0,0,13,7,0,2,0,3,1,0,13,7,0,2,0,3,1,,,0,0,0,0,0,0,,,0,0,0,0,9,4,1,1,0,2,0,1,8,4,1,1,0,2,0,,,1,1,0,0,0,0,,,0,0,0,0,8,6,0,1,0,0,0,1,7,6,0,1,0,0,0,,,0,0,0,0,1,1,,,0,0,0,0,0,0
,부상자수,10739,1145,193,227,3,242,53,8876,1863,1145,193,227,3,242,53,,,88,88,1,1,15,15,,,4355,4355,4417,4417,11548,1568,197,267,4,247,18,9247,2301,1568,197,267,4,247,18,,,71,71,3,3,12,12,,,4583,4583,4578,4578,11398,1555,340,246,5,250,13,8989,2409,1555,340,246,5,250,13,,,89,89,5,5,9,9,,,4792,4792,4094,4094,11712,1932,396,302,5,389,28,8660,3052,1932,396,302,5,389,28,,,122,122,15,15,22,22,,,3561,3561,4940,4940,11988,1945,361,357,10,396,30,8889,3099,1945,361,357,10,396,30,,,124,124,17,17,9,9,,,86,86,3619,3619,5034,5034
동대문구,사고건수,6440,1123,190,215,5,288,110,4509,1931,1123,190,215,5,288,110,,,134,134,,,6,6,,,2394,2394,1975,1975,6720,1249,189,211,2,296,71,4702,2018,1249,189,211,2,296,71,2,2,134,134,5,5,13,13,,,2474,2474,2074,2074,6390,1141,240,227,3,303,58,4418,1972,1141,240,227,3,303,58,,,128,128,3,3,8,8,,,2487,2487,1792,1792,6697,1212,269,236,3,453,53,4471,2226,1212,269,236,3,453,53,1,1,142,142,12,12,11,11,,,2208,2208,2097,2097,6398,1208,261,229,3,436,57,4204,2194,1208,261,229,3,436,57,2,2,121,121,14,14,14,14,1,1,56,56,2006,2006,1990,1990
,사망자수,25,9,2,7,0,5,0,2,23,9,2,7,0,5,0,,,1,1,,,1,1,,,0,0,0,0,14,7,0,5,0,1,0,1,13,7,0,5,0,1,0,0,0,1,1,0,0,0,0,,,0,0,0,0,15,9,0,0,0,5,0,1,14,9,0,0,0,5,0,,,1,1,0,0,0,0,,,0,0,0,0,10,5,1,1,0,0,2,1,9,5,1,1,0,0,2,0,0,0,0,1,1,0,0,,,0,0,0,0,17,6,3,2,0,3,0,3,14,6,3,2,0,3,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0
,부상자수,8506,1487,233,260,7,318,120,6081,2425,1487,233,260,7,318,120,,,138,138,,,5,5,,,3098,3098,2840,2840,8989,1681,259,265,2,333,79,6370,2619,1681,259,265,2,333,79,3,3,143,143,5,5,13,13,,,3295,3295,2911,2911,8691,1544,318,287,3,362,69,6108,2583,1544,318,287,3,362,69,,,138,138,3,3,12,12,,,3365,3365,2590,2590,9173,1668,349,311,6,535,64,6240,2933,1668,349,311,6,535,64,2,2,154,154,11,11,11,11,,,2883,2883,3179,3179,8811,1591,347,273,4,510,62,6024,2787,1591,347,273,4,510,62,2,2,122,122,15,15,13,13,1,1,56,56,2706,2706,3109,3109
성북구,사고건수,6431,1086,173,185,1,233,64,4689,1742,1086,173,185,1,233,64,,,55,55,,,12,12,,,2539,2539,2083,2083,6696,1146,181,179,,240,49,4901,1795,1146,181,179,,240,49,1,1,51,51,3,3,8,8,,,2606,2606,2232,2232,6700,1209,248,183,2,303,44,4711,1989,1209,248,183,2,303,44,1,1,48,48,2,2,18,18,,,2671,2671,1971,1971,6968,1307,299,197,1,341,49,4774,2194,1307,299,197,1,341,49,,,51,51,4,4,14,14,,,2268,2268,2437,2437,7150,1364,290,211,4,334,44,4903,2247,1364,290,211,4,334,44,,,60,60,5,5,9,9,,,57,57,2388,2388,2384,2384
