"period","searchVolume"
"21-11","12100"
"21-12","9900"
"22-01","8100"
"22-02","8100"
"22-03","12100"
"22-04","14800"
"22-05","18100"
"22-06","14800"
"22-07","14800"
"22-08","12100"
"22-09","14800"
"22-10","14800"
